"id";"item_number";"modelnumber";"productcategory";"productdescription";"productlink";"productname";"productprice"
1;24522186;"60986";"Furniture";"With rigorous performance testing and next-level features that can be customized to complement your personal playing style, Union & Scale helps you up your game.";"https://www.staples.com/emerge-vizon-47-gaming-desk-white-colorway-60986/product_24522186";"Gaming Desk";179.99
2;147589;"SET001HC";"Furniture";"Maximize the potential of your home office with the Bush Furniture Somerset 72W L Shaped Desk with Hutch.";"https://www.staples.com/Bush-Furniture-Somerset-71W-L-Shaped-Desk-with-Hutch-Hansen-Cherry-SET001HC/product_147589";"Desk with Hutch";958.99
3;24398973;"UN59685-CC";"Furniture";"Carve out a personal workspace with this storage desk. The simple design and classic mid-century modern details make this desk perfect for modern decor themes or casual open office";"https://www.staples.com/midmod-60-storage-desk-espresso-un56950/product_24398973";" Computer and Writing Storage Desk";219.99
4;1929202;"ST28189-CC";"Furniture";"Enhance office decor and maximize your work surface with this stylish and functional Gillespie L-shaped desk.";"https://www.staples.com/Staples-Gillespie-L-Shaped-Desk/product_1929202";"L-Shaped Desk";129.99
5;24308799;"SPUS-EGDB";"Furniture";"Assemble a complete set of gaming gear on this black computer desk. The spacious tabletop offers plenty of room for multiple monitors";"https://www.staples.com/staples-emergent-gaming-desk-black-spus-egdb/product_24308799";"Laminate Computer Desk";219.99
6;24458818;"WC81272";"Furniture";"An expansive work surface and built-in storage make the Bush Furniture Somerset office desk with drawers a perfect choice for your home office.";"https://www.staples.com/bush-furniture-somerset-71-office-desk-gray-wc81272/";"Office Desk";442.99
7;88094;"SRC001HCSU";"Furniture";"Functionality meets style with this Bush Business Furniture Westfield L Shaped Desk. ";"https://www.staples.com/Bush-Business-Westfield-72W-L-Desk-with-3-Drawer-Mobile-Pedestal-Hansen-Cherry-Graphite-Gray/product_88094";"L Shaped Desk";1016.99
8;24502575;"STGD010";"Furniture";"Eureka Ergonomic starts with an idea, innovation for a better gaming experience, utilizing an extremely strict quality control.";"https://www.staples.com/eureka-ergonomic-47-computer-gaming-desk-black-stgd010/product_24502575";"Computer Gaming Desk";159.99
9;88174;"SRC015HCSU";"Furniture";"Enjoy a professional look, convenient features and long-lasting commercial quality with the Bush Business Furniture  Westfield 66W Office Desk";"https://www.staples.com/Bush-Business-Westfield-66W-Shell-Desk-with-3-Drawer-Mobile-Pedestal-Hansen-Cherry-Graphite-Gray/product_88174";"Office Desk with Mobile File Cabinet";713.99
10;24301755;"ECH025PW";"Furniture";"The Office by kathy ireland® Echo L Shaped Bow Front Desk creates a strong presence perfect for those  whose passion for business is only matched by their fashionable tastes.";"https://www.staples.com/office-by-kathy-ireland-echo-l-shaped-bow-front-desk-pure-white-pure-white-ech025pw/product_24301755";"L Shaped Bow Front Desk";589.99
